uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-2.93448e-07,-5.90592e-06,-5.10379e-08,1,0.00801,0.01301,0,0.0075,178
-2.93023e-07,-5.90645e-06,-5.09804e-08,1,0.008055,0.013055,0,0.0075,179
-2.92599e-07,-5.90697e-06,-5.09229e-08,1,0.0081,0.0131,0,0.0075,180
-2.92174e-07,-5.9075e-06,-5.08655e-08,1,0.008145,0.013145,0,0.0075,181
-2.91749e-07,-5.90802e-06,-5.0808e-08,1,0.00819,0.01319,0,0.0075,182
-2.91325e-07,-5.90855e-06,-5.07505e-08,1,0.008235,0.013235,0,0.0075,183
-2.909e-07,-5.90908e-06,-5.0693e-08,1,0.00828,0.01328,0,0.0075,184
-2.90475e-07,-5.9096e-06,-5.06356e-08,1,0.008325,0.013325,0,0.0075,185
-2.9005e-07,-5.91013e-06,-5.05781e-08,1,0.00837,0.01337,0,0.0075,186
-2.89626e-07,-5.91065e-06,-5.05206e-08,1,0.008415,0.013415,0,0.0075,187
-2.89201e-07,-5.91118e-06,-5.04631e-08,1,0.00846,0.01346,0,0.0075,188
-2.88776e-07,-5.9117e-06,-5.04057e-08,1,0.008505,0.013505,0,0.0075,189
-2.88352e-07,-5.91223e-06,-5.03482e-08,1,0.00855,0.01355,0,0.0075,190
-2.87927e-07,-5.91276e-06,-5.02907e-08,1,0.008595,0.013595,0,0.0075,191
-2.87502e-07,-5.91328e-06,-5.02332e-08,1,0.00864,0.01364,0,0.0075,192
-2.87078e-07,-5.91381e-06,-5.01758e-08,1,0.008685,0.013685,0,0.0075,193
-2.86653e-07,-5.91433e-06,-5.01183e-08,1,0.00873,0.01373,0,0.0075,194
-2.86228e-07,-5.91486e-06,-5.00608e-08,1,0.008775,0.013775,0,0.0075,195
-2.85804e-07,-5.91539e-06,-5.00033e-08,1,0.00882,0.01382,0,0.0075,196
-2.85379e-07,-5.91591e-06,-4.99459e-08,1,0.008865,0.013865,0,0.0075,197
-2.84954e-07,-5.91644e-06,-4.98884e-08,1,0.00891,0.01391,0,0.0075,198
-2.84529e-07,-5.91696e-06,-4.98309e-08,1,0.008955,0.013955,0,0.0075,199
-2.84105e-07,-5.91749e-06,-4.97734e-08,1,0.009,0.014,0,0.0075,200
-2.8368e-07,-5.91801e-06,-4.9716e-08,1,0.009045,0.014045,0,0.0075,201
-2.83255e-07,-5.91854e-06,-4.96585e-08,1,0.00909,0.01409,0,0.0075,202
-2.82831e-07,-5.91907e-06,-4.9601e-08,1,0.009135,0.014135,0,0.0075,203
-2.82406e-07,-5.91959e-06,-4.95435e-08,1,0.00918,0.01418,0,0.0075,204
-2.81981e-07,-5.92012e-06,-4.94861e-08,1,0.009225,0.014225,0,0.0075,205
-2.81557e-07,-5.92064e-06,-4.94286e-08,1,0.00927,0.01427,0,0.0075,206
-2.81132e-07,-5.92117e-06,-4.93711e-08,1,0.009315,0.014315,0,0.0075,207
