uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-1.11523e-06,-5.0259e-06,-3.21912e-08,0.0334894,-0.0072732,0.00182184,0.0075,182,2
-1.13334e-06,-5.02224e-06,-3.18712e-08,0.0337368,-0.0073274,0.00158045,0.0075,183,2
-1.14219e-06,-5.02029e-06,-3.16853e-08,0.0338574,-0.00735383,0.00146277,0.0075,184,2
-1.16027e-06,-5.01712e-06,-3.14032e-08,0.0341048,-0.00739613,0.001219,0.0075,185,2
-1.16906e-06,-5.01579e-06,-3.12802e-08,0.0342254,-0.00741675,0.00110017,0.0075,186,2
-1.18706e-06,-5.01394e-06,-3.11268e-08,0.0344728,-0.00744703,0.000854625,0.0075,187,2
-1.19579e-06,-5.01283e-06,-3.10363e-08,0.0345934,-0.00746179,0.000734923,0.0075,188,2
-1.2137e-06,-5.01145e-06,-3.09266e-08,0.0348408,-0.00748,0.000488187,0.0075,189,2
-1.22235e-06,-5.01099e-06,-3.09091e-08,0.0349615,-0.00748887,0.000367904,0.0075,190,2
-1.23998e-06,-5.01096e-06,-3.09544e-08,0.0352089,-0.00749494,0.000120573,0.0075,191,2
-1.24861e-06,-5.01073e-06,-3.09698e-08,0.0353295,-0.0074979,0,0.0075,192,2
