sigmaEq,uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
4.40553e+06,-3.95506e-07,-5.35986e-06,-5.99128e-08,1,0.005625,0,0.010625,0.0075,125
4.39313e+06,-3.93774e-07,-5.35949e-06,-5.9675e-08,1,0.00567,0,0.01067,0.0075,126
4.38074e+06,-3.92042e-07,-5.35913e-06,-5.94372e-08,1,0.005715,0,0.010715,0.0075,127
4.36835e+06,-3.9031e-07,-5.35876e-06,-5.91993e-08,1,0.00576,0,0.01076,0.0075,128
4.35596e+06,-3.88578e-07,-5.3584e-06,-5.89615e-08,1,0.005805,0,0.010805,0.0075,129
4.34356e+06,-3.86846e-07,-5.35804e-06,-5.87236e-08,1,0.00585,0,0.01085,0.0075,130
4.33117e+06,-3.85114e-07,-5.35767e-06,-5.84858e-08,1,0.005895,0,0.010895,0.0075,131
4.31878e+06,-3.83382e-07,-5.35731e-06,-5.82479e-08,1,0.00594,0,0.01094,0.0075,132
4.30638e+06,-3.8165e-07,-5.35695e-06,-5.80101e-08,1,0.005985,0,0.010985,0.0075,133
4.29399e+06,-3.79918e-07,-5.35658e-06,-5.77722e-08,1,0.00603,0,0.01103,0.0075,134
4.2816e+06,-3.78186e-07,-5.35622e-06,-5.75344e-08,1,0.006075,0,0.011075,0.0075,135
4.2692e+06,-3.76454e-07,-5.35585e-06,-5.72965e-08,1,0.00612,0,0.01112,0.0075,136
4.25681e+06,-3.74722e-07,-5.35549e-06,-5.70587e-08,1,0.006165,0,0.011165,0.0075,137
4.24442e+06,-3.7299e-07,-5.35513e-06,-5.68208e-08,1,0.00621,0,0.01121,0.0075,138
4.23202e+06,-3.71258e-07,-5.35476e-06,-5.6583e-08,1,0.006255,0,0.011255,0.0075,139
4.21963e+06,-3.69526e-07,-5.3544e-06,-5.63451e-08,1,0.0063,0,0.0113,0.0075,140
4.20724e+06,-3.67794e-07,-5.35403e-06,-5.61073e-08,1,0.006345,0,0.011345,0.0075,141
4.19484e+06,-3.66062e-07,-5.35367e-06,-5.58694e-08,1,0.00639,0,0.01139,0.0075,142
4.18245e+06,-3.6433e-07,-5.35331e-06,-5.56316e-08,1,0.006435,0,0.011435,0.0075,143
4.17006e+06,-3.62598e-07,-5.35294e-06,-5.53937e-08,1,0.00648,0,0.01148,0.0075,144
4.15766e+06,-3.60866e-07,-5.35258e-06,-5.51559e-08,1,0.006525,0,0.011525,0.0075,145
4.14527e+06,-3.59134e-07,-5.35222e-06,-5.4918e-08,1,0.00657,0,0.01157,0.0075,146
4.13288e+06,-3.57401e-07,-5.35185e-06,-5.46802e-08,1,0.006615,0,0.011615,0.0075,147
4.12048e+06,-3.55669e-07,-5.35149e-06,-5.44423e-08,1,0.00666,0,0.01166,0.0075,148
4.10809e+06,-3.53937e-07,-5.35112e-06,-5.42045e-08,1,0.006705,0,0.011705,0.0075,149
4.0957e+06,-3.52205e-07,-5.35076e-06,-5.39666e-08,1,0.00675,0,0.01175,0.0075,150
4.0833e+06,-3.50473e-07,-5.3504e-06,-5.37288e-08,1,0.006795,0,0.011795,0.0075,151
4.07091e+06,-3.48741e-07,-5.35003e-06,-5.34909e-08,1,0.00684,0,0.01184,0.0075,152
4.05852e+06,-3.47009e-07,-5.34967e-06,-5.32531e-08,1,0.006885,0,0.011885,0.0075,153
4.04612e+06,-3.45277e-07,-5.3493e-06,-5.30152e-08,1,0.00693,0,0.01193,0.0075,154
4.03373e+06,-3.43545e-07,-5.34894e-06,-5.27774e-08,1,0.006975,0,0.011975,0.0075,155
4.02134e+06,-3.41813e-07,-5.34858e-06,-5.25395e-08,1,0.00702,0,0.01202,0.0075,156
4.00894e+06,-3.40081e-07,-5.34821e-06,-5.23017e-08,1,0.007065,0,0.012065,0.0075,157
3.99655e+06,-3.38349e-07,-5.34785e-06,-5.20639e-08,1,0.00711,0,0.01211,0.0075,158
